CMDLINE python test.py
MEM 359.089844 1691073759.8501
MEM 360.121094 1691073759.9505
MEM 361.410156 1691073760.0508
MEM 362.441406 1691073760.1513
MEM 363.472656 1691073760.2516
MEM 364.441406 1691073760.3528
MEM 366.503906 1691073760.4531
MEM 368.308594 1691073760.5535
MEM 369.082031 1691073760.6539
MEM 370.371094 1691073760.7542
MEM 372.175781 1691073760.8546
MEM 372.691406 1691073760.9549
MEM 373.980469 1691073761.0554
MEM 374.496094 1691073761.1557
MEM 376.558594 1691073761.2561
MEM 377.074219 1691073761.3566
MEM 377.332031 1691073761.4571
MEM 379.394531 1691073761.5575
MEM 380.941406 1691073761.6579
MEM 381.199219 1691073761.7583
MEM 381.199219 1691073761.8586
MEM 382.746094 1691073761.9590
MEM 382.746094 1691073762.0593
MEM 382.746094 1691073762.1598
MEM 385.066406 1691073762.2603
MEM 385.843750 1691073762.3607
MEM 386.652344 1691073762.4610
MEM 387.425781 1691073762.5616
MEM 387.699219 1691073762.6620
MEM 387.699219 1691073762.7623
MEM 387.957031 1691073762.8628
MEM 388.214844 1691073762.9632
MEM 388.214844 1691073763.0635
MEM 388.214844 1691073763.1639
MEM 388.472656 1691073763.2644
MEM 388.472656 1691073763.3648
MEM 388.472656 1691073763.4651
MEM 388.472656 1691073763.5655
MEM 388.730469 1691073763.6658
MEM 388.730469 1691073763.7662
MEM 388.730469 1691073763.8665
MEM 388.730469 1691073763.9669
MEM 388.988281 1691073764.0673
MEM 388.988281 1691073764.1677
MEM 388.988281 1691073764.2681
MEM 388.988281 1691073764.3685
MEM 388.988281 1691073764.4689
MEM 389.246094 1691073764.5693
MEM 389.246094 1691073764.6698
MEM 389.503906 1691073764.7702
MEM 389.503906 1691073764.8707
MEM 389.503906 1691073764.9712
MEM 389.503906 1691073765.0716
MEM 389.503906 1691073765.1720
MEM 389.503906 1691073765.2725
MEM 389.503906 1691073765.3728
MEM 389.761719 1691073765.4742
MEM 389.761719 1691073765.5749
MEM 389.761719 1691073765.6753
MEM 389.761719 1691073765.7758
MEM 389.761719 1691073765.8762
MEM 389.761719 1691073765.9767
MEM 390.019531 1691073766.0772
MEM 390.019531 1691073766.1775
MEM 390.019531 1691073766.2781
MEM 390.019531 1691073766.3785
MEM 390.019531 1691073766.4792
MEM 390.019531 1691073766.5796
MEM 390.019531 1691073766.6802
MEM 390.019531 1691073766.7807
MEM 390.019531 1691073766.8811
MEM 390.019531 1691073766.9815
MEM 390.019531 1691073767.0818
MEM 390.019531 1691073767.1822
MEM 390.019531 1691073767.2826
MEM 390.019531 1691073767.3831
MEM 390.019531 1691073767.4835
MEM 390.019531 1691073767.5839
MEM 390.019531 1691073767.6844
MEM 390.019531 1691073767.7848
MEM 390.019531 1691073767.8853
MEM 390.019531 1691073767.9857
MEM 390.019531 1691073768.0861
MEM 390.277344 1691073768.1866
MEM 390.277344 1691073768.2870
MEM 390.277344 1691073768.3874
MEM 390.277344 1691073768.4879
MEM 390.277344 1691073768.5884
MEM 390.277344 1691073768.6895
MEM 390.277344 1691073768.7902
MEM 390.277344 1691073768.8906
MEM 390.277344 1691073768.9910
MEM 390.277344 1691073769.0915
MEM 390.277344 1691073769.1919
MEM 390.277344 1691073769.2923
MEM 390.277344 1691073769.3928
MEM 390.277344 1691073769.4932
MEM 400.003906 1691073769.5937
MEM 406.191406 1691073769.6943
MEM 413.550781 1691073769.7948
MEM 415.863281 1691073769.8954
MEM 418.183594 1691073769.9958
MEM 420.246094 1691073770.0962
MEM 424.628906 1691073770.1967
MEM 425.144531 1691073770.2972
MEM 425.144531 1691073770.3977
MEM 427.207031 1691073770.4982
MEM 427.207031 1691073770.5996
MEM 428.753906 1691073770.7001
MEM 428.753906 1691073770.8006
MEM 429.527344 1691073770.9010
MEM 429.527344 1691073771.0015
MEM 429.527344 1691073771.1020
MEM 432.105469 1691073771.2024
MEM 432.878906 1691073771.3029
MEM 431.835938 1691073771.4034
MEM 431.835938 1691073771.5038
MEM 431.835938 1691073771.6042
MEM 431.835938 1691073771.7048
MEM 431.835938 1691073771.8053
MEM 431.835938 1691073771.9058
MEM 431.835938 1691073772.0067
MEM 431.835938 1691073772.1086
MEM 431.835938 1691073772.2095
MEM 431.835938 1691073772.3103
MEM 431.835938 1691073772.4120
MEM 431.835938 1691073772.5124
MEM 431.835938 1691073772.6129
MEM 431.835938 1691073772.7136
MEM 431.835938 1691073772.8140
MEM 431.835938 1691073772.9145
MEM 431.835938 1691073773.0149
MEM 431.835938 1691073773.1154
MEM 431.835938 1691073773.2160
