,current_params,proposed_params,current_log_likelihood,proposed_log_likelihood,step_forward_log_probs,step_backward_log_probs,current_log_posterior,proposed_log_posterior,alpha,accepted
5825,"[0.0996912718213069, 0.3268517201730117, 86227294488063.78]","[0.09305332824026265, 0.33488166437130396, 85333363021876.28]",-211.71266371210882,-227.23251620525446,-22.073530008348563,-22.168401408246982,-211.71266371210882,-227.23251620525446,1.6542897421863906e-07,False
5826,"[0.0996912718213069, 0.3268517201730117, 86227294488063.78]","[0.07780674013413619, 0.32699750619321793, 87961657869457.42]",-211.71266371210882,-448.4566673879899,-25.25041876873538,-24.953706136369707,-211.71266371210882,-448.4566673879899,2.0523254885305471e-103,False
5827,"[0.0996912718213069, 0.3268517201730117, 86227294488063.78]","[0.1086370299556805, 0.3081331364872871, 84990182731974.27]",-211.71266371210882,-222.88402966490466,-24.163079157952062,-24.031280829207287,-211.71266371210882,-222.88402966490466,1.6053757493379796e-05,False
5828,"[0.0996912718213069, 0.3268517201730117, 86227294488063.78]","[0.09752958206171636, 0.32367899099784125, 86016361102755.56]",-211.71266371210882,-213.52323039965026,-21.240947862526717,-21.30782882879508,-211.71266371210882,-213.52323039965026,0.15298006597701663,False
5829,"[0.0996912718213069, 0.3268517201730117, 86227294488063.78]","[0.09052381366571327, 0.3329136172547857, 86098159618694.8]",-211.71266371210882,-240.91295745460303,-21.736566323068892,-21.846346019726564,-211.71266371210882,-240.91295745460303,1.865506820451409e-13,False
5830,"[0.0996912718213069, 0.3268517201730117, 86227294488063.78]","[0.10089709390075591, 0.3365274497469929, 84563876338588.17]",-211.71266371210882,-211.66347543009175,-23.067947551818484,-23.006882229769804,-211.71266371210882,-211.66347543009175,1.1165611990158069,True
5831,"[0.10089709390075591, 0.3365274497469929, 84563876338588.17]","[0.10251658522089009, 0.32300391615426294, 84314931450582.42]",-211.66347543009175,-212.2336898359703,-22.134073580146254,-22.14028207473922,-211.66347543009175,-212.2336898359703,0.5619047651527367,False
5832,"[0.10089709390075591, 0.3365274497469929, 84563876338588.17]","[0.09325073702810745, 0.3409829450882375, 84732033459372.55]",-211.66347543009175,-227.12362350777664,-21.53523678653379,-21.633771154188974,-211.66347543009175,-227.12362350777664,1.7496455168521531e-07,False
5833,"[0.10089709390075591, 0.3365274497469929, 84563876338588.17]","[0.08237605033964565, 0.32607315345527293, 84125714245213.2]",-211.66347543009175,-340.3681767897503,-23.552164390609438,-23.54393103296131,-211.66347543009175,-340.3681767897503,1.2818408459360396e-56,False
5834,"[0.10089709390075591, 0.3365274497469929, 84563876338588.17]","[0.11250999898752552, 0.32739329088986946, 83818373055884.64]",-211.66347543009175,-230.97738193053036,-22.582019430534377,-22.516103948042048,-211.66347543009175,-230.97738193053036,4.372237181687859e-09,False
5835,"[0.10089709390075591, 0.3365274497469929, 84563876338588.17]","[0.09413803823677584, 0.34007971170505324, 86917453320919.78]",-211.66347543009175,-222.684599109237,-24.168154324129933,-24.31218829618553,-211.66347543009175,-222.684599109237,1.4159034582841676e-05,False
5836,"[0.10089709390075591, 0.3365274497469929, 84563876338588.17]","[0.09871012666297763, 0.34544095459408847, 83962222149061.48]",-211.66347543009175,-213.0957518794463,-21.771985436193393,-21.789267077118986,-211.66347543009175,-213.0957518794463,0.23467396989140343,False
5837,"[0.10089709390075591, 0.3365274497469929, 84563876338588.17]","[0.12162077760960263, 0.3403649666286707, 83707216072023.11]",-211.66347543009175,-257.87126795977395,-23.701126869023472,-23.856239564014622,-211.66347543009175,-257.87126795977395,7.325648828145318e-21,False
