,Date_Time,gps.lat,gps.lon,altitudeRelative,Concentration,TransDate,Test_name,Experiment,Transect,Distance,Transect_Num,Height,Dist_Travelled,Transect_Dist,Time_Elapsed,Peak_Dist
0,0,-18.8518419,147.7184591,14.2,236.2032343,0,0,Exp1,0,0,0,0,0,0,0,0
0,0,-18.85184174,147.7184591,14.2,265.0754087,0,0,Exp1,0,0,0,0,0,0,0,0
0,0,-18.85184158,147.7184592,14.2,272.2942324,0,0,Exp1,0,0,0,0,0,0,0,0
0,0,-18.85184142,147.7184592,14.2,245.2252525,0,0,Exp1,0,0,0,0,0,0,0,0
0,0,-18.85184126,147.7184593,14.2,293.0500886,0,0,Exp1,0,0,0,0,0,0,0,0
0,0,-18.8518411,147.7184593,14.2,258.8834628,0,0,Exp1,0,0,0,0,0,0,0,0
0,0,-18.8518411,147.7184593,14.2,219.3058195,0,0,Exp1,0,0,0,0,0,0,0,0
0,0,-18.8518411,147.7184593,14.2,242.6914748,0,0,Exp1,0,0,0,0,0,0,0,0
0,0,-18.8518411,147.7184593,14.2,234.5960696,0,0,Exp1,0,0,0,0,0,0,0,0
0,0,-18.8518411,147.7184593,14.2,248.9881724,0,0,Exp1,0,0,0,0,0,0,0,0
0,0,-18.8518411,147.7184593,14.1,250.7872725,0,0,Exp1,0,0,0,0,0,0,0,0
0,0,-18.85184114,147.7184593,14.1,275.0770209,0,0,Exp1,0,0,0,0,0,0,0,0
0,0,-18.85184118,147.7184593,14.1,258.8834628,0,0,Exp1,0,0,0,0,0,0,0,0
0,0,-18.85184122,147.7184592,14.1,253.485959,0,0,Exp1,0,0,0,0,0,0,0,0
0,0,-18.85184126,147.7184592,14.1,249.88772,0,0,Exp1,0,0,0,0,0,0,0,0
0,0,-18.8518413,147.7184592,14.1,262.4818955,0,0,Exp1,0,0,0,0,0,0,0,0
0,0,-18.85184128,147.7184593,14.1,261.5822801,0,0,Exp1,0,0,0,0,0,0,0,0
0,0,-18.85184126,147.7184593,14.1,275.0770209,0,0,Exp1,0,0,0,0,0,0,0,0
0,0,-18.85184124,147.7184594,14.1,237.2944944,0,0,Exp1,0,0,0,0,0,0,0,0
0,0,-18.85184122,147.7184594,14.1,248.0886297,0,0,Exp1,0,0,0,0,0,0,0,0
0,0,-18.8518412,147.7184595,14,276.8061556,0,0,Exp1,0,0,0,0,0,0,0,0
0,0,-18.85184118,147.7184595,14,257.8568971,0,0,Exp1,0,0,0,0,0,0,0,0
0,0,-18.85184116,147.7184594,14,270.4894972,0,0,Exp1,0,0,0,0,0,0,0,0
0,0,-18.85184114,147.7184594,14,254.2477582,0,0,Exp1,0,0,0,0,0,0,0,0
0,0,-18.85184112,147.7184593,14,284.0254864,0,0,Exp1,0,0,0,0,0,0,0,0
0,0,-18.8518411,147.7184593,14,248.8341963,0,0,Exp1,0,0,0,0,0,0,0,0
